Customer Id,Customer Fname,Customer Lname,Customer Email,Customer Password,Customer Segment,Customer City,Customer State,Customer Street,Customer Zipcode,Customer Country,Latitude,Longitude,Customer Birth Date
20755,Cally,Holloway,XXXXXXXXX,XXXXXXXXX,Consumer,Caguas,PR,24124 Michael Stravenue,725.0,Puerto Rico,18.2514534,-66.03705597,1988-01-03
19492,Irene,Luna,XXXXXXXXX,XXXXXXXXX,Consumer,Caguas,PR,668 Flores Meadow Apt. 403,725.0,Puerto Rico,18.27945137,-66.0370636,1959-10-21
19491,Gillian,Maldonado,XXXXXXXXX,XXXXXXXXX,Consumer,San Jose,CA,730 Hall Parkway,95125.0,United States,37.29223251,-121.881279,1982-10-13
19490,Tana,Tate,XXXXXXXXX,XXXXXXXXX,Home Office,Los Angeles,CA,33624 Gallegos Coves Suite 455,90027.0,United States,34.12594605,-118.2910156,1968-11-07
19489,Orli,Hendricks,XXXXXXXXX,XXXXXXXXX,Corporate,Caguas,PR,72234 Scott Hollow,725.0,Puerto Rico,18.25376892,-66.03704834,1989-05-13
19488,Kimberly,Flowers,XXXXXXXXX,XXXXXXXXX,Consumer,Tonawanda,NY,679 Reginald Shoals,14150.0,United States,43.01396942,-78.87906647,1986-11-08
19487,Constance,Terrell,XXXXXXXXX,XXXXXXXXX,Home Office,Caguas,PR,0445 Martinez Rapid,725.0,Puerto Rico,18.24253845,-66.03705597,1976-12-26
19486,Erica,Stevens,XXXXXXXXX,XXXXXXXXX,Corporate,Miami,FL,7717 Dunn Crossing Suite 368,33162.0,United States,25.92886925,-80.16287231,1976-04-15
19485,Nichole,Olsen,XXXXXXXXX,XXXXXXXXX,Corporate,Caguas,PR,9240 Lauren Stream Suite 655,725.0,Puerto Rico,18.23322296,-66.03705597,1988-02-22
19484,Oprah,Delacruz,XXXXXXXXX,XXXXXXXXX,Corporate,San Ramon,CA,53757 Avery Lodge,94583.0,United States,37.77399063,-121.966629,2008-07-17
19483,Germane,Short,XXXXXXXXX,XXXXXXXXX,Corporate,Caguas,PR,733 Amber Springs Suite 797,725.0,Puerto Rico,18.28284454,-66.03705597,1989-02-03
19482,Freya,Robbins,XXXXXXXXX,XXXXXXXXX,Consumer,Freeport,NY,081 White Forest,11520.0,United States,40.65486527,-73.58707428,1978-01-09
19481,Cassandra,Jensen,XXXXXXXXX,XXXXXXXXX,Corporate,Salinas,CA,63438 Jennifer Forges Suite 979,93905.0,United States,36.6763382,-121.656517,1986-03-20
19480,Natalie,Mcfadden,XXXXXXXXX,XXXXXXXXX,Corporate,Caguas,PR,0574 Ronald Meadow,725.0,Puerto Rico,18.27843857,-66.03705597,1980-10-27
