Salesman Id,Salesman Fname,Salesman Lname,Salesman Email,Market,Region,Hire Date,Commission Rate
1,Danielle,Johnson,danielle.johnson1@company.com,Africa,Central Africa,2020-10-12,0.058
2,Jeffrey,Doyle,jeffrey.doyle2@company.com,Africa,Central Africa,2023-12-18,0.022
3,Patricia,Miller,patricia.miller3@company.com,Africa,Central Africa,2021-12-11,0.037
4,Anthony,Robinson,anthony.robinson4@company.com,Africa,Central Africa,2022-08-09,0.033
5,Anthony,Gonzalez,anthony.gonzalez5@company.com,Africa,Central Africa,2023-10-01,0.064
6,Amy,Robinson,amy.robinson6@company.com,Africa,Central Africa,2023-04-09,0.061
7,Lisa,Smith,lisa.smith7@company.com,Africa,East Africa,2024-12-25,0.074
8,Helen,Peterson,helen.peterson8@company.com,Africa,East Africa,2019-11-01,0.025
9,Susan,Rogers,susan.rogers9@company.com,Africa,East Africa,2019-05-04,0.045
10,Colin,Abbott,colin.abbott10@company.com,Africa,East Africa,2023-05-20,0.022
11,Lindsay,Blair,lindsay.blair11@company.com,Africa,East Africa,2022-11-06,0.033
12,Teresa,Gray,teresa.gray12@company.com,Africa,East Africa,2022-12-22,0.05
13,Maria,Montgomery,maria.montgomery13@company.com,Africa,North Africa,2025-06-05,0.022
14,Barbara,Bush,barbara.bush14@company.com,Africa,North Africa,2018-12-19,0.032
15,Jeremy,Roberts,jeremy.roberts15@company.com,Africa,North Africa,2019-03-27,0.059
16,Jesse,Garcia,jesse.garcia16@company.com,Africa,North Africa,2020-10-20,0.053
17,Cynthia,Diaz,cynthia.diaz17@company.com,Africa,North Africa,2021-07-14,0.033
18,Jason,Adams,jason.adams18@company.com,Africa,North Africa,2026-01-07,0.055
19,Deborah,Lynch,deborah.lynch19@company.com,Africa,North Africa,2019-12-16,0.069
20,Jessica,Martin,jessica.martin20@company.com,Africa,North Africa,2021-08-10,0.02
21,Veronica,Bowman,veronica.bowman21@company.com,Africa,North Africa,2023-01-05,0.068
22,Gabrielle,Cameron,gabrielle.cameron22@company.com,Africa,North Africa,2024-09-30,0.062
23,Jeremy,Johnson,jeremy.johnson23@company.com,Africa,North Africa,2021-02-06,0.04
24,Joseph,Clark,joseph.clark24@company.com,Africa,Southern Africa,2026-01-25,0.029
25,Nancy,Edwards,nancy.edwards25@company.com,Africa,Southern Africa,2023-10-17,0.077
26,Randall,Rocha,randall.rocha26@company.com,Africa,Southern Africa,2022-03-27,0.04
27,Joseph,Wright,joseph.wright27@company.com,Africa,Southern Africa,2023-01-18,0.026
28,Jose,Richards,jose.richards28@company.com,Africa,West Africa,2025-09-17,0.026
29,Reginald,Robinson,reginald.robinson29@company.com,Africa,West Africa,2026-07-02,0.071
30,William,Davis,william.davis30@company.com,Africa,West Africa,2018-12-23,0.056
31,Daniel,Burton,daniel.burton31@company.com,Africa,West Africa,2024-11-15,0.068
32,Robert,Brown,robert.brown32@company.com,Africa,West Africa,2021-08-16,0.064
33,Wendy,Rice,wendy.rice33@company.com,Africa,West Africa,2026-04-17,0.052
34,Michelle,Smith,michelle.smith34@company.com,Africa,West Africa,2024-04-23,0.078
35,Erin,Herrera,erin.herrera35@company.com,Africa,West Africa,2020-09-18,0.043
36,Danielle,Rodriguez,danielle.rodriguez36@company.com,Africa,West Africa,2022-01-17,0.053
37,Shawn,Mckay,shawn.mckay37@company.com,Africa,West Africa,2025-07-15,0.07
38,Jose,Mason,jose.mason38@company.com,Africa,West Africa,2020-01-07,0.057
39,Rita,Harrell,rita.harrell39@company.com,Africa,West Africa,2020-12-19,0.072
40,Danielle,Lynch,danielle.lynch40@company.com,Europe,Eastern Europe,2019-10-25,0.055
41,Kathryn,Ryan,kathryn.ryan41@company.com,Europe,Eastern Europe,2024-10-07,0.062
42,Alyssa,Smith,alyssa.smith42@company.com,Europe,Eastern Europe,2021-03-03,0.023
43,Andrew,Hickman,andrew.hickman43@company.com,Europe,Eastern Europe,2025-07-24,0.034
44,Marie,Parker,marie.parker44@company.com,Europe,Eastern Europe,2019-01-23,0.037
45,Natalie,Arroyo,natalie.arroyo45@company.com,Europe,Eastern Europe,2019-04-13,0.025
46,Todd,Jones,todd.jones46@company.com,Europe,Eastern Europe,2024-08-16,0.034
47,Katie,Anderson,katie.anderson47@company.com,Europe,Eastern Europe,2022-05-14,0.026
48,Andrea,Baker,andrea.baker48@company.com,Europe,Eastern Europe,2025-07-06,0.037
49,Rodney,Lewis,rodney.lewis49@company.com,Europe,Eastern Europe,2022-11-15,0.058
50,Jessica,Harris,jessica.harris50@company.com,Europe,Eastern Europe,2021-01-26,0.042
51,Wanda,Santos,wanda.santos51@company.com,Europe,Eastern Europe,2022-01-26,0.042
52,Zachary,Martinez,zachary.martinez52@company.com,Europe,Eastern Europe,2020-05-19,0.033
53,Matthew,Chapman,matthew.chapman53@company.com,Europe,Northern Europe,2020-06-04,0.036
54,Jeffrey,Jones,jeffrey.jones54@company.com,Europe,Northern Europe,2023-08-08,0.076
55,Jeremy,Whitehead,jeremy.whitehead55@company.com,Europe,Northern Europe,2025-05-30,0.059
56,Chad,Young,chad.young56@company.com,Europe,Northern Europe,2023-11-25,0.057
57,Jason,Anderson,jason.anderson57@company.com,Europe,Northern Europe,2026-01-04,0.03
58,Ashley,Kennedy,ashley.kennedy58@company.com,Europe,Northern Europe,2024-10-25,0.064
59,Lindsey,Lee,lindsey.lee59@company.com,Europe,Northern Europe,2019-05-16,0.03
60,Ryan,Henderson,ryan.henderson60@company.com,Europe,Northern Europe,2022-04-20,0.043
61,Jessica,Nunez,jessica.nunez61@company.com,Europe,Northern Europe,2026-05-25,0.079
62,Corey,Powell,corey.powell62@company.com,Europe,Northern Europe,2021-04-16,0.058
63,Michelle,Wright,michelle.wright63@company.com,Europe,Northern Europe,2020-02-10,0.053
64,Shane,Henderson,shane.henderson64@company.com,Europe,Northern Europe,2020-10-22,0.061
65,John,Leblanc,john.leblanc65@company.com,Europe,Northern Europe,2022-02-10,0.071
66,Michelle,Pierce,michelle.pierce66@company.com,Europe,Northern Europe,2019-01-02,0.067
67,Yvette,Huff,yvette.huff67@company.com,Europe,Northern Europe,2026-04-11,0.034
68,Sara,Allison,sara.allison68@company.com,Europe,Northern Europe,2019-12-02,0.022
69,Todd,Lewis,todd.lewis69@company.com,Europe,Northern Europe,2021-10-11,0.039
70,Brian,Gray,brian.gray70@company.com,Europe,Northern Europe,2026-05-28,0.036
71,Joseph,Bowers,joseph.bowers71@company.com,Europe,Northern Europe,2022-03-16,0.033
72,Rodney,Bernard,rodney.bernard72@company.com,Europe,Northern Europe,2026-06-26,0.077
73,Angela,Higgins,angela.higgins73@company.com,Europe,Northern Europe,2019-10-30,0.073
74,Kenneth,Novak,kenneth.novak74@company.com,Europe,Northern Europe,2023-03-10,0.039
75,Amy,Adkins,amy.adkins75@company.com,Europe,Northern Europe,2019-01-21,0.059
76,Breanna,Shaw,breanna.shaw76@company.com,Europe,Northern Europe,2025-05-10,0.044
77,Eric,Yu,eric.yu77@company.com,Europe,Northern Europe,2019-03-28,0.075
78,Jacob,Larson,jacob.larson78@company.com,Europe,Northern Europe,2023-12-13,0.048
79,Joe,Wilson,joe.wilson79@company.com,Europe,Northern Europe,2025-08-26,0.036
